epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.335,0.83829,3.49678,1.08906,0.0477,0.79678,0.14527,0.12323,0.69528,2.80882,0.96227,0.000172202,0.000172202,0.000172202
2,46.0147,0.72356,2.31553,1.01525,0.30331,0.35648,0.27318,0.222,0.76152,1.98598,1.01748,0.000344095,0.000344095,0.000344095
3,64.867,0.71242,1.96164,1.00644,0.38073,0.44613,0.39842,0.31279,0.83528,1.84441,1.08105,0.000512516,0.000512516,0.000512516
4,83.7018,0.70553,1.69272,0.99065,0.57349,0.47011,0.48204,0.39069,0.69912,2.17687,0.98264,0.000510378,0.000510378,0.000510378
5,102.113,0.68171,1.47998,0.97488,0.60331,0.63232,0.66564,0.55788,0.65505,1.17948,0.9395,0.00050517,0.00050517,0.00050517
6,121.075,0.66685,1.3428,0.97032,0.76059,0.65839,0.72148,0.59853,0.65071,0.9673,0.93427,0.000499963,0.000499963,0.000499963
7,139.708,0.65367,1.22595,0.96255,0.70721,0.69874,0.7375,0.62799,0.63107,1.02747,0.92336,0.000494756,0.000494756,0.000494756
8,158.53,0.64981,1.11327,0.96452,0.76611,0.68065,0.75511,0.63328,0.65563,0.91952,0.93305,0.000489548,0.000489548,0.000489548
9,177.152,0.63698,1.04834,0.95628,0.74972,0.6432,0.71777,0.58848,0.67319,0.89207,0.95825,0.000484341,0.000484341,0.000484341
10,195.776,0.62724,1.02127,0.95215,0.87075,0.75012,0.83317,0.70947,0.6008,0.69082,0.9067,0.000479133,0.000479133,0.000479133
11,214.542,0.62844,0.97342,0.95139,0.8668,0.74974,0.83819,0.70329,0.63564,0.7049,0.91889,0.000473926,0.000473926,0.000473926
12,233.902,0.62355,0.9338,0.94701,0.90618,0.75879,0.84785,0.71711,0.6079,0.59452,0.90052,0.000468719,0.000468719,0.000468719
13,252.06,0.61019,0.88035,0.94669,0.86313,0.77184,0.85138,0.72791,0.59825,0.62067,0.90497,0.000463511,0.000463511,0.000463511
14,271.147,0.5944,0.87424,0.93953,0.90654,0.76561,0.85808,0.73353,0.6176,0.60166,0.91644,0.000458304,0.000458304,0.000458304
15,289.829,0.59234,0.83514,0.93799,0.89653,0.78483,0.86571,0.73372,0.60085,0.60727,0.91014,0.000453096,0.000453096,0.000453096
16,308.078,0.59919,0.80507,0.93933,0.93132,0.79071,0.87139,0.74781,0.5837,0.54096,0.89594,0.000447889,0.000447889,0.000447889
17,327.197,0.59188,0.79658,0.93945,0.92103,0.79551,0.87417,0.74243,0.58355,0.52608,0.89865,0.000442682,0.000442682,0.000442682
18,346.24,0.583,0.76667,0.94008,0.91628,0.78221,0.8738,0.73937,0.59499,0.50818,0.8982,0.000437474,0.000437474,0.000437474
19,365.251,0.57862,0.76486,0.93807,0.9387,0.77665,0.87321,0.74318,0.60453,0.5092,0.91111,0.000432267,0.000432267,0.000432267
20,384.271,0.58563,0.73658,0.93298,0.92277,0.79403,0.87737,0.75259,0.57067,0.49754,0.89043,0.000427059,0.000427059,0.000427059
21,403.24,0.57648,0.73737,0.93198,0.87718,0.81441,0.87131,0.7455,0.58112,0.5201,0.89129,0.000421852,0.000421852,0.000421852
22,422.393,0.57175,0.72954,0.93576,0.9112,0.82214,0.89138,0.76215,0.56337,0.456,0.8875,0.000416645,0.000416645,0.000416645
23,441.246,0.56809,0.723,0.92935,0.93964,0.82405,0.89503,0.765,0.58009,0.44913,0.90032,0.000411437,0.000411437,0.000411437
24,460.455,0.56012,0.68688,0.92892,0.92854,0.80479,0.8875,0.76155,0.56344,0.50131,0.88271,0.00040623,0.00040623,0.00040623
25,479.388,0.57495,0.69987,0.93245,0.92441,0.81898,0.89527,0.76678,0.56378,0.45554,0.88825,0.000401022,0.000401022,0.000401022
26,498.189,0.55868,0.68791,0.93091,0.93579,0.82268,0.89082,0.76308,0.57922,0.46424,0.89394,0.000395815,0.000395815,0.000395815
27,517.238,0.5596,0.66695,0.92536,0.92212,0.82238,0.89429,0.7641,0.57208,0.43782,0.88846,0.000390608,0.000390608,0.000390608
28,536.282,0.55867,0.67506,0.92656,0.91092,0.82208,0.8948,0.7667,0.57736,0.44628,0.89268,0.0003854,0.0003854,0.0003854
29,555.869,0.55016,0.65814,0.92547,0.94417,0.79787,0.88612,0.76379,0.54749,0.43758,0.8804,0.000380193,0.000380193,0.000380193
30,574.63,0.55474,0.65127,0.92643,0.91557,0.834,0.89864,0.77946,0.54556,0.41553,0.878,0.000374985,0.000374985,0.000374985
31,593.62,0.54829,0.63733,0.92328,0.92649,0.8273,0.89394,0.77101,0.56095,0.41067,0.88687,0.000369778,0.000369778,0.000369778
32,612.899,0.55154,0.6284,0.92298,0.95401,0.84307,0.91811,0.79379,0.54944,0.38452,0.88535,0.000364571,0.000364571,0.000364571
33,631.756,0.54505,0.6353,0.92305,0.95222,0.83462,0.91076,0.79058,0.54562,0.39138,0.87687,0.000359363,0.000359363,0.000359363
34,650.353,0.5419,0.61604,0.91893,0.93412,0.84516,0.90671,0.78664,0.53957,0.39168,0.88128,0.000354156,0.000354156,0.000354156
35,669.418,0.54596,0.61949,0.92252,0.93188,0.83097,0.90581,0.78406,0.54359,0.39601,0.87874,0.000348948,0.000348948,0.000348948
36,688.321,0.54071,0.61077,0.92083,0.91361,0.85588,0.91124,0.78397,0.54048,0.37935,0.87634,0.000343741,0.000343741,0.000343741
37,707.202,0.54154,0.61082,0.91888,0.91385,0.86066,0.91498,0.78243,0.54922,0.39166,0.87864,0.000338534,0.000338534,0.000338534
38,726.02,0.54104,0.60697,0.92053,0.95415,0.83344,0.90961,0.7885,0.54523,0.38215,0.87704,0.000333326,0.000333326,0.000333326
39,745.048,0.53191,0.5894,0.91628,0.93618,0.83112,0.91223,0.78743,0.54512,0.38611,0.87617,0.000328119,0.000328119,0.000328119
40,763.742,0.52709,0.59234,0.91797,0.92854,0.85969,0.91937,0.78935,0.55515,0.36918,0.88305,0.000322911,0.000322911,0.000322911
41,782.129,0.52578,0.56966,0.91511,0.9569,0.84227,0.92016,0.79821,0.53661,0.36339,0.87269,0.000317704,0.000317704,0.000317704
42,801.252,0.5241,0.57886,0.9127,0.93104,0.85906,0.91634,0.79507,0.53757,0.36494,0.87771,0.000312497,0.000312497,0.000312497
43,820.461,0.52513,0.57758,0.91455,0.956,0.8445,0.92082,0.78993,0.54495,0.36167,0.8811,0.000307289,0.000307289,0.000307289
44,839.34,0.52243,0.58233,0.91684,0.93522,0.8286,0.90032,0.77683,0.53109,0.36686,0.87068,0.000302082,0.000302082,0.000302082
45,858.337,0.52197,0.56736,0.91202,0.91655,0.83576,0.90493,0.78327,0.53439,0.369,0.87178,0.000296874,0.000296874,0.000296874
46,877.342,0.52499,0.55517,0.91335,0.92221,0.85903,0.91966,0.79865,0.5312,0.3524,0.87208,0.000291667,0.000291667,0.000291667
47,896.606,0.51736,0.55206,0.91448,0.93746,0.85596,0.91864,0.79901,0.5322,0.35433,0.87147,0.00028646,0.00028646,0.00028646
48,915.632,0.51484,0.55065,0.91332,0.93738,0.85374,0.91972,0.80211,0.52446,0.35727,0.86708,0.000281252,0.000281252,0.000281252
49,934.773,0.51706,0.53477,0.91218,0.95963,0.8453,0.91983,0.79161,0.52707,0.35323,0.8693,0.000276045,0.000276045,0.000276045
50,953.051,0.51515,0.5505,0.91113,0.94045,0.85155,0.91553,0.79075,0.53176,0.3466,0.87116,0.000270837,0.000270837,0.000270837
51,972.205,0.51561,0.53897,0.91637,0.94003,0.86133,0.92146,0.79917,0.53015,0.33848,0.87116,0.00026563,0.00026563,0.00026563
52,991.12,0.5149,0.52901,0.90956,0.93454,0.86403,0.91993,0.80092,0.52037,0.3311,0.86902,0.000260423,0.000260423,0.000260423
53,1009.79,0.51237,0.54045,0.91408,0.94588,0.84048,0.91187,0.79601,0.5236,0.34878,0.86905,0.000255215,0.000255215,0.000255215
54,1028.73,0.50566,0.51018,0.91223,0.95635,0.85438,0.9213,0.80165,0.52523,0.33143,0.87317,0.000250008,0.000250008,0.000250008
55,1047.42,0.5009,0.52963,0.91233,0.93694,0.86508,0.92601,0.80189,0.53312,0.33487,0.87109,0.0002448,0.0002448,0.0002448
56,1066.65,0.49674,0.52244,0.90796,0.9489,0.85553,0.921,0.79558,0.53104,0.34313,0.87326,0.000239593,0.000239593,0.000239593
57,1085.65,0.50007,0.50962,0.91099,0.93834,0.8819,0.92725,0.8048,0.5324,0.34012,0.87508,0.000234386,0.000234386,0.000234386
58,1104.91,0.49693,0.51696,0.91054,0.94974,0.87067,0.92823,0.80958,0.52232,0.32686,0.87024,0.000229178,0.000229178,0.000229178
59,1123.92,0.50137,0.5031,0.90684,0.91885,0.86932,0.91821,0.79816,0.52097,0.32917,0.86764,0.000223971,0.000223971,0.000223971
60,1142.94,0.4964,0.50796,0.90505,0.90543,0.87572,0.9168,0.79787,0.52387,0.34533,0.86787,0.000218763,0.000218763,0.000218763
61,1161.88,0.49754,0.50306,0.91084,0.92756,0.87993,0.92647,0.8102,0.5194,0.32329,0.86614,0.000213556,0.000213556,0.000213556
62,1180.9,0.49692,0.49795,0.90587,0.95185,0.86438,0.92745,0.81219,0.5258,0.31521,0.87219,0.000208349,0.000208349,0.000208349
63,1199.87,0.48774,0.48889,0.90288,0.9583,0.87014,0.92775,0.80887,0.51269,0.31074,0.86753,0.000203141,0.000203141,0.000203141
64,1218.93,0.48887,0.47865,0.90256,0.94505,0.87297,0.93007,0.80931,0.5133,0.31425,0.86516,0.000197934,0.000197934,0.000197934
65,1237.93,0.49111,0.49765,0.90333,0.92144,0.86863,0.92799,0.80893,0.52277,0.31962,0.86841,0.000192726,0.000192726,0.000192726
66,1257.23,0.48243,0.47702,0.90213,0.93386,0.89873,0.93333,0.81381,0.52065,0.30538,0.87145,0.000187519,0.000187519,0.000187519
67,1276.4,0.48138,0.47296,0.90582,0.94899,0.8849,0.93525,0.81388,0.51596,0.30554,0.86567,0.000182312,0.000182312,0.000182312
68,1295.45,0.48136,0.47229,0.90443,0.94921,0.86098,0.93005,0.80792,0.51802,0.31602,0.86727,0.000177104,0.000177104,0.000177104
69,1313.8,0.48318,0.47032,0.90172,0.91035,0.87674,0.92236,0.80133,0.51396,0.3184,0.86401,0.000171897,0.000171897,0.000171897
70,1332.65,0.47462,0.45326,0.89823,0.93292,0.87825,0.93293,0.8142,0.51806,0.30972,0.86679,0.000166689,0.000166689,0.000166689
71,1351.76,0.4857,0.47348,0.89943,0.93844,0.87908,0.93571,0.8152,0.52117,0.30358,0.86506,0.000161482,0.000161482,0.000161482
72,1370.83,0.47517,0.4647,0.90369,0.95767,0.87752,0.93613,0.81437,0.51547,0.30411,0.86805,0.000156275,0.000156275,0.000156275
73,1390.13,0.47374,0.457,0.89646,0.96603,0.88384,0.93956,0.81642,0.51588,0.29968,0.86463,0.000151067,0.000151067,0.000151067
74,1409.19,0.46966,0.44063,0.89575,0.9466,0.89208,0.93879,0.82031,0.51507,0.29648,0.86432,0.00014586,0.00014586,0.00014586
75,1428.62,0.47639,0.46036,0.8944,0.94811,0.86665,0.9364,0.81604,0.514,0.30035,0.86729,0.000140652,0.000140652,0.000140652
76,1447.69,0.46518,0.45085,0.90019,0.93286,0.87582,0.93205,0.81597,0.51753,0.30128,0.87026,0.000135445,0.000135445,0.000135445
77,1466.58,0.47564,0.44526,0.90097,0.95718,0.86777,0.93335,0.81172,0.51739,0.30519,0.86753,0.000130238,0.000130238,0.000130238
78,1485.79,0.46441,0.43905,0.89769,0.93926,0.88581,0.93525,0.81805,0.51353,0.29664,0.86804,0.00012503,0.00012503,0.00012503
79,1504.23,0.46136,0.4274,0.89757,0.95212,0.88836,0.93657,0.81484,0.51387,0.29588,0.86912,0.000119823,0.000119823,0.000119823
80,1522.83,0.46316,0.43322,0.8991,0.95881,0.85625,0.93158,0.81394,0.51445,0.30683,0.86881,0.000114615,0.000114615,0.000114615
81,1541.92,0.46104,0.43564,0.89896,0.95571,0.87158,0.9324,0.81603,0.50551,0.30044,0.86335,0.000109408,0.000109408,0.000109408
82,1561.13,0.46085,0.42442,0.89434,0.94575,0.88534,0.93305,0.81621,0.50983,0.29738,0.8635,0.000104201,0.000104201,0.000104201
83,1579.34,0.4625,0.4263,0.8971,0.92865,0.89561,0.93601,0.82092,0.5078,0.29401,0.86314,9.89932e-05,9.89932e-05,9.89932e-05
84,1598.21,0.46159,0.42854,0.89628,0.97252,0.85308,0.933,0.81599,0.51399,0.2929,0.86509,9.37858e-05,9.37858e-05,9.37858e-05
85,1617.33,0.45802,0.41628,0.89385,0.96647,0.87362,0.93277,0.81952,0.5073,0.29343,0.86412,8.85784e-05,8.85784e-05,8.85784e-05
86,1636.61,0.45623,0.42238,0.89521,0.94963,0.8839,0.93499,0.81922,0.50632,0.28824,0.86424,8.3371e-05,8.3371e-05,8.3371e-05
87,1655.11,0.45664,0.41458,0.89287,0.97155,0.85486,0.93354,0.81606,0.50399,0.28985,0.86344,7.81636e-05,7.81636e-05,7.81636e-05
88,1674.25,0.45087,0.41604,0.89542,0.93411,0.88786,0.93658,0.81982,0.50041,0.28928,0.8636,7.29562e-05,7.29562e-05,7.29562e-05
89,1693.32,0.45019,0.42497,0.89356,0.93412,0.88539,0.93445,0.82001,0.50119,0.28765,0.86562,6.77488e-05,6.77488e-05,6.77488e-05
90,1712.37,0.44571,0.40636,0.89411,0.97245,0.85929,0.93357,0.82127,0.50031,0.28875,0.86338,6.25414e-05,6.25414e-05,6.25414e-05
91,1788.1,0.44732,0.27371,0.83906,0.93761,0.87894,0.93311,0.82026,0.50355,0.29328,0.86414,5.7334e-05,5.7334e-05,5.7334e-05
92,1807.94,0.43545,0.26066,0.84112,0.96662,0.86709,0.93521,0.8204,0.50484,0.28962,0.86552,5.21266e-05,5.21266e-05,5.21266e-05
93,1826.23,0.43207,0.2595,0.83857,0.95671,0.87308,0.93597,0.81844,0.50792,0.28697,0.8682,4.69192e-05,4.69192e-05,4.69192e-05
94,1844.96,0.42802,0.25554,0.84404,0.94025,0.88246,0.93704,0.81982,0.50496,0.28844,0.866,4.17118e-05,4.17118e-05,4.17118e-05
95,1863.47,0.42184,0.25115,0.84289,0.97227,0.86097,0.93566,0.82006,0.50712,0.28676,0.86644,3.65044e-05,3.65044e-05,3.65044e-05
96,1881.33,0.42423,0.25206,0.83785,0.96951,0.87018,0.93402,0.82104,0.50642,0.28991,0.86792,3.1297e-05,3.1297e-05,3.1297e-05
97,1900.2,0.42308,0.24851,0.84005,0.9609,0.8694,0.93507,0.82062,0.50556,0.28998,0.86628,2.60896e-05,2.60896e-05,2.60896e-05
98,1918.69,0.41496,0.24397,0.83965,0.96788,0.86793,0.93515,0.8216,0.50639,0.28485,0.86668,2.08822e-05,2.08822e-05,2.08822e-05
99,1937.23,0.41645,0.24778,0.83859,0.96289,0.87003,0.93582,0.82283,0.50431,0.28227,0.86588,1.56748e-05,1.56748e-05,1.56748e-05
100,1955.41,0.42146,0.24539,0.83794,0.97086,0.87009,0.93646,0.82431,0.50266,0.28204,0.86544,1.04674e-05,1.04674e-05,1.04674e-05
